division,domain,wealth,age,age_when_married,school,class,working,newspaper,tv,asha,grameen,mclub,born,any,mmore,more,method,died,birth
1,1,1,24,19,1,6,2,2,1,2,2,2,,,1,,1,0,1
1,1,1,41,18,1,3,2,2,2,2,2,1,4,,2,,1,1,5
1,1,2,46,13,1,3,2,2,1,2,2,2,4,,2,,2,0,1
1,1,1,49,14,2,,2,,2,2,2,2,,,2,,2,0,2
1,1,1,,,,,,,,,,,,,,,,0,
1,1,2,30,15,1,10,1,1,1,1,2,2,,,2,,1,0,2
1,1,1,38,18,1,5,2,2,1,1,2,2,4,,2,,1,0,2
1,1,2,48,15,1,3,2,2,1,2,2,2,4,,2,,1,2,6
1,1,1,39,19,1,8,2,1,2,1,2,2,4,,2,,1,0,2
1,1,2,35,17,1,5,1,1,1,1,2,2,4,,1,,2,0,1
1,1,2,26,13,1,5,2,2,1,1,2,2,,,2,,1,0,2
1,1,3,26,17,1,10,2,2,1,2,2,2,,,2,,1,0,3
1,1,3,30,14,1,12,1,1,1,2,2,2,4,,2,,1,0,2
1,1,2,26,12,1,9,2,2,1,2,2,2,,,1,,2,0,1
1,1,2,49,17,1,7,2,1,1,2,2,2,,,2,,2,1,3
1,1,2,32,19,1,10,2,2,1,2,2,2,1,,2,,1,0,2
1,1,1,24,15,1,5,1,2,2,2,2,2,4,,1,,1,0,1
1,1,1,25,15,1,3,2,2,2,2,1,2,4,,2,,1,0,2
1,1,1,35,16,1,5,2,2,1,1,2,2,,,2,,2,2,4
1,1,1,,,,,,,,,,,,,,,,0,
1,1,3,40,16,1,5,2,2,1,2,2,2,4,,2,,2,0,3
1,1,3,23,13,1,9,2,2,1,2,2,2,4,,2,,1,0,2
1,1,1,43,13,2,,2,,1,1,2,2,3,,2,,2,0,2
1,1,1,18,17,1,5,2,2,1,2,2,2,4,,1,,1,0,1
1,1,1,32,16,1,6,1,2,2,1,2,2,,,2,,1,0,2
1,1,3,33,16,1,6,2,2,1,1,2,2,4,,1,,2,0,3
1,1,3,28,16,1,9,2,2,1,2,2,2,4,,1,,1,0,1
1,1,1,35,16,1,4,2,2,2,1,2,2,,,2,,1,0,2
1,1,1,,,,,,,,,,,,,,,,0,
1,1,2,28,17,1,1,1,2,1,1,2,2,4,,2,,1,0,2
1,1,1,33,18,1,3,1,2,1,1,2,2,,,,,,0,2
1,1,2,45,15,1,4,2,2,1,2,2,2,4,,2,,1,0,2
1,1,1,40,15,1,7,2,2,1,2,2,2,4,,2,,2,0,2
1,1,2,26,14,1,9,2,2,1,2,2,2,4,,1,,1,0,1
1,1,1,35,15,1,3,1,2,1,1,2,2,,,2,,1,0,3
1,1,2,23,15,1,8,1,2,1,2,2,2,4,,1,,1,0,1
1,1,1,24,16,1,4,2,2,2,2,2,2,,,2,,1,0,2
1,1,2,24,13,1,9,2,2,1,1,2,2,4,,2,,1,0,2
1,1,2,43,15,2,,2,,1,2,2,2,4,,2,,1,0,4
1,1,2,21,17,1,10,2,2,1,2,2,2,4,,2,,1,0,1
1,1,5,31,16,1,16,1,1,1,2,2,2,,1,,,1,0,0
1,1,1,31,13,1,5,2,2,1,2,2,2,4,,2,,1,0,3
1,1,2,23,13,1,7,2,2,1,2,2,2,,,1,,1,0,1
1,1,1,34,14,1,8,2,2,1,2,2,2,4,,2,,1,0,5
1,1,2,25,13,1,8,2,2,1,2,2,2,,,1,,1,0,2
1,1,2,25,14,1,5,2,2,1,2,2,2,4,,1,,1,0,2
1,1,1,49,13,2,,2,,2,1,2,2,4,,2,,2,1,2
1,1,2,26,17,1,10,2,1,1,2,2,2,1,,2,,1,0,2
1,1,1,37,12,2,,2,,1,2,2,2,,,2,,1,0,2
1,1,1,20,20,1,8,2,2,1,2,2,2,,1,,,1,0,0
1,1,4,28,20,1,12,2,1,1,2,2,2,,,2,,2,0,2
1,1,3,26,15,1,7,2,2,1,2,2,2,,,1,,1,0,1
1,1,1,36,13,1,5,2,2,1,1,2,2,2,,2,,1,1,4
1,1,1,35,15,1,3,2,2,2,2,2,2,,,2,,1,0,2
1,1,1,18,12,1,7,2,1,1,1,2,2,,,1,,1,0,1
1,1,3,36,32,1,14,1,1,1,2,2,2,,,1,,1,0,1
1,1,1,38,18,1,3,2,2,2,2,2,2,4,,2,,1,2,4
1,1,1,18,16,1,5,2,2,1,2,2,2,,1,,,2,0,0
1,1,4,27,21,1,12,2,1,1,2,2,2,2,,1,,1,0,1
1,1,5,27,19,1,14,2,1,1,2,2,2,,,2,,1,0,1
1,1,4,49,18,1,8,2,2,1,2,2,2,4,,2,,2,0,3
1,1,3,17,13,1,4,2,2,1,2,2,2,,,,,,0,1
1,1,2,30,16,1,5,2,2,1,1,2,2,3,,2,,1,0,1
1,1,3,42,18,2,,2,,1,2,2,2,4,,2,,2,0,3
1,1,3,34,26,1,10,1,1,1,2,2,2,,,2,,1,0,1
1,1,3,36,25,1,12,2,2,1,1,2,2,,,,,,0,1
1,1,3,25,17,1,14,2,1,1,2,2,2,4,,2,,2,0,2
1,1,2,31,13,1,7,2,2,1,2,1,2,,,2,,1,0,2
1,1,2,29,14,2,,1,,1,1,2,2,4,,,,,0,2
1,1,4,30,13,1,4,2,2,1,2,2,2,,,2,,2,0,2
1,1,4,20,19,1,12,2,1,1,2,2,2,,1,,,1,0,0
1,1,3,42,17,1,10,2,1,1,2,2,2,4,,2,,1,0,3
1,1,3,30,19,1,9,2,1,1,2,2,2,4,,2,,1,0,1
1,1,4,48,12,1,5,2,2,2,2,2,2,4,,2,,2,0,2
1,1,4,29,16,1,9,2,1,1,1,2,2,2,,2,,1,0,2
1,1,4,41,19,1,10,2,1,1,2,2,2,,,2,,1,0,2
1,1,3,26,15,1,12,2,2,1,2,2,2,,,,,,0,0
1,1,3,42,22,1,12,2,1,1,2,2,2,4,,2,,2,0,2
1,1,1,28,15,1,5,1,2,1,2,2,2,4,,2,,1,0,1
1,1,1,27,13,1,5,2,2,1,2,2,2,,,2,,1,0,4
1,1,1,23,12,1,9,2,2,1,1,1,2,,,2,,1,0,2
1,1,3,48,16,1,7,2,2,1,2,2,2,4,,2,,2,0,2
1,1,3,30,11,2,,2,,1,2,2,2,,,2,,1,0,4
1,1,2,24,12,1,5,2,2,1,2,2,2,4,,2,,2,0,1
1,1,1,27,19,2,,1,,1,2,2,2,,,1,,1,0,1
1,1,1,38,14,1,8,2,2,1,2,2,2,4,,2,,1,0,4
1,1,1,27,18,1,9,2,1,1,1,2,2,4,,2,,2,0,3
1,1,2,27,13,1,9,2,2,1,2,2,2,,,2,,1,0,2
1,1,2,34,15,1,9,2,2,1,2,2,2,4,,2,,1,0,2
1,1,3,25,20,1,9,2,2,1,2,1,2,4,1,,,2,0,0
1,1,1,35,12,1,5,2,2,1,2,2,2,,,2,,1,0,3
1,1,2,24,17,1,9,2,1,1,2,2,2,4,,1,,1,0,1
1,1,4,20,20,1,10,2,2,1,2,2,2,4,1,,,1,0,0
1,1,4,25,17,1,10,2,2,1,2,2,2,4,,,,,0,1
1,1,2,35,15,1,7,2,2,1,2,2,2,4,,2,,1,0,2
1,1,1,40,15,2,,2,,1,2,2,2,,,2,,1,0,3
1,1,2,23,15,1,7,2,2,1,1,2,2,4,,2,,1,0,1
1,1,1,27,16,1,5,2,2,1,1,2,2,4,,2,,1,0,2
1,1,4,49,24,1,12,2,1,1,2,2,2,,,2,,2,0,2
1,1,4,35,21,1,12,2,1,1,2,2,2,,,2,,1,0,3
1,1,4,28,19,1,14,2,1,1,2,2,2,,,1,,2,0,2
1,1,2,24,12,1,7,2,1,1,2,2,2,3,,1,,2,0,1
1,1,3,33,18,1,9,2,2,1,2,2,2,,,2,,2,0,2
1,1,1,37,18,1,5,1,1,1,1,2,2,4,,2,,1,0,2
1,1,1,16,16,1,7,2,1,1,2,2,2,,1,,,1,0,0
1,1,2,22,15,1,6,2,2,1,1,2,2,,,2,,1,0,2
1,1,4,29,22,1,12,2,1,1,2,2,2,,,2,,1,0,2
1,1,4,31,18,1,14,2,2,1,1,2,2,,,2,,1,0,2
1,1,3,27,11,1,5,1,2,1,2,2,2,4,,2,,1,0,3
1,1,2,22,16,1,5,2,2,2,1,2,2,,,1,,1,0,1
1,1,2,35,16,2,,2,,1,2,2,2,4,,2,,1,0,3
1,1,2,25,14,2,,2,,1,1,2,2,4,,2,,1,0,2
