wealth,age,age_when_married,school,class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
3,48.0,16.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,4.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
2,43.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
2,23.0,18.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,46.0,19.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
3,24.0,19.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,35.0,18.0,1.0,7.0,1.0,1.0,1.0,0.0,1.0,0,2.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
3,40.0,11.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,29.0,13.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,38.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
2,40.0,15.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0,4.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
3,38.0,17.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
4,22.0,15.0,1.0,9.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,30.0,16.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
3,42.0,14.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0,3.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
3,22.0,18.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
3,36.0,18.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,34.0,16.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,24.0,14.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
1,35.0,16.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,19.0,16.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,27.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,3.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,48.0,15.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0,5.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,39.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
3,24.0,15.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
2,39.0,15.0,1.0,8.0,1.0,1.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0
3,39.0,13.0,1.0,6.0,0.0,1.0,1.0,0.0,1.0,0,5.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
3,48.0,15.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0,2.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
3,27.0,14.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
5,40.0,14.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0,4.0,0.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,25.0,21.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0
3,24.0,18.0,1.0,7.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
2,26.0,16.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,0,2.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,48.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,3.0,1.0,1.0,0.0,0.0,1,0,0,1,0,0,0,0
1,23.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
1,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0
3,49.0,14.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,6.0,1.0,1.0,1.0,0.0,1,0,0,1,0,0,0,0
2,39.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,3.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0
2,18.0,15.0,1.0,8.0,0.0,1.0,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0
