wealth,age,age_when_married,school,upto_class,working,tv,asha,want_child,method,died,birth,first_child_gender,children_away,boys_died,girls_died,domain_1,domain_2,domain_3,born_place_1.0,born_place_2.0,born_place_3.0,born_place_4.0,born_place_9.0
2,24,17,1,9,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
2,35,15,1,7,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
1,40,15,0,0,0,1,0,0,1,0,3,1,1,0,0,1,0,0,1,0,0,0,0
2,23,15,1,7,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1,27,16,1,5,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
4,49,24,1,12,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
4,35,21,1,12,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
4,28,19,1,14,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,24,12,1,7,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
3,33,18,1,9,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,37,18,1,5,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,22,15,1,6,0,1,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
4,29,22,1,12,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
4,31,18,1,14,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,27,11,1,5,1,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
2,22,16,1,5,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
2,35,16,0,0,0,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0
2,25,14,0,0,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,46,12,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0
1,28,16,1,7,1,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0
1,31,17,1,2,0,0,0,0,1,0,4,0,1,0,0,1,0,0,1,0,0,0,0
1,32,9,1,4,0,0,1,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0
2,40,11,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0
2,20,14,1,3,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
4,34,17,1,12,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
2,38,16,1,5,0,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
1,45,17,1,5,0,0,1,0,0,1,5,1,1,0,1,1,0,0,1,0,0,0,0
1,27,13,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
3,38,14,1,5,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0
1,36,19,1,4,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0
3,42,16,1,5,0,1,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0
3,17,15,1,9,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
2,30,13,1,5,0,1,1,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
4,38,16,1,9,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0
2,42,15,1,5,0,1,0,0,0,0,5,1,1,0,0,1,0,0,1,0,0,0,0
3,48,15,1,5,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0
3,29,17,1,5,0,1,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
2,36,15,1,5,0,1,0,0,1,0,3,0,1,0,0,1,0,0,1,0,0,0,0
4,35,17,1,7,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2,36,13,1,5,0,1,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
3,44,11,1,5,0,0,1,0,1,1,6,0,1,1,0,1,0,0,0,0,0,1,0
3,25,14,1,7,0,1,1,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
1,29,21,1,5,0,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0
3,48,15,0,0,0,1,1,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,0
1,26,13,1,7,0,0,1,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,32,13,1,5,1,0,1,0,1,0,4,0,1,0,0,1,0,0,0,0,0,1,0
2,27,18,1,5,0,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0,0,1,0
2,41,14,1,5,0,0,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0
2,22,18,1,8,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,34,13,1,5,0,1,1,0,1,0,3,1,1,0,0,1,0,0,1,0,0,0,0
1,28,14,0,0,1,1,1,0,0,1,3,1,0,1,0,1,0,0,0,1,0,0,0
1,45,15,0,0,1,1,1,0,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0
1,26,17,1,5,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,19,14,1,6,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,26,14,1,7,1,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
2,40,17,1,5,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,34,17,1,5,1,1,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,1,0
4,27,13,1,10,0,1,0,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
4,42,13,1,2,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0
3,48,18,0,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,1,0,0,0,0
3,31,22,1,10,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
3,20,19,1,12,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,24,14,1,5,0,1,1,1,1,0,2,1,0,0,0,1,0,0,0,1,0,0,0
2,30,16,0,0,0,1,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,1,0
1,25,13,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
1,36,19,1,5,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
3,29,15,1,9,0,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,20,14,1,12,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
1,21,19,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2,20,16,1,8,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
3,28,15,1,7,0,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0
1,26,14,1,7,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0
2,31,14,1,3,1,1,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0
1,38,14,1,2,0,1,1,0,1,1,5,0,0,0,1,1,0,0,0,0,0,1,0
1,30,13,1,8,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0
1,25,11,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,29,18,1,2,0,1,1,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,27,17,1,8,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,26,19,1,9,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2,24,19,1,9,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
2,37,15,0,0,0,1,1,0,1,0,4,1,0,0,0,1,0,0,1,0,0,0,0
1,36,13,1,6,0,1,1,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,23,18,1,6,0,1,1,1,1,0,2,1,0,0,0,1,0,0,1,0,0,0,0
2,30,14,1,5,0,1,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
3,27,12,1,5,0,1,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
3,22,15,1,9,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,33,14,0,0,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0
1,25,20,1,5,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
2,26,15,1,9,0,1,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
2,40,15,1,8,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0
1,23,15,1,2,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0
1,29,17,1,9,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
1,33,18,1,5,1,0,0,0,1,0,3,1,0,0,0,1,0,0,1,0,0,0,0
